|	19.7392	|		18.7731	|		15.9694	|		11.6024	|		6.09975	|		1.20864e-15	|		-6.09975	|		-11.6024	|		-15.9694	|		-18.7731	|		-19.7392	|	

|	18.7731	|		17.8543	|		15.1878	|		11.0346	|		5.80121	|		1.14948e-15	|		-5.80121	|		-11.0346	|		-15.1878	|		-17.8543	|		-18.7731	|	

|	15.9694	|		15.1878	|		12.9195	|		9.38655	|		4.9348	|		9.77809e-16	|		-4.9348	|		-9.38655	|		-12.9195	|		-15.1878	|		-15.9694	|	

|	11.6024	|		11.0346	|		9.38655	|		6.81973	|		3.58534	|		7.1042e-16	|		-3.58534	|		-6.81973	|		-9.38655	|		-11.0346	|		-11.6024	|	

|	6.09975	|		5.80121	|		4.9348	|		3.58534	|		1.88493	|		3.7349e-16	|		-1.88493	|		-3.58534	|		-4.9348	|		-5.80121	|		-6.09975	|	

|	1.20864e-15	|		1.14948e-15	|		9.77809e-16	|		7.1042e-16	|		3.7349e-16	|		7.40053e-32	|		-3.7349e-16	|		-7.1042e-16	|		-9.77809e-16	|		-1.14948e-15	|		-1.20864e-15	|	

|	-6.09975	|		-5.80121	|		-4.9348	|		-3.58534	|		-1.88493	|		-3.7349e-16	|		1.88493	|		3.58534	|		4.9348	|		5.80121	|		6.09975	|	

|	-11.6024	|		-11.0346	|		-9.38655	|		-6.81973	|		-3.58534	|		-7.1042e-16	|		3.58534	|		6.81973	|		9.38655	|		11.0346	|		11.6024	|	

|	-15.9694	|		-15.1878	|		-12.9195	|		-9.38655	|		-4.9348	|		-9.77809e-16	|		4.9348	|		9.38655	|		12.9195	|		15.1878	|		15.9694	|	

|	-18.7731	|		-17.8543	|		-15.1878	|		-11.0346	|		-5.80121	|		-1.14948e-15	|		5.80121	|		11.0346	|		15.1878	|		17.8543	|		18.7731	|	

|	-19.7392	|		-18.7731	|		-15.9694	|		-11.6024	|		-6.09975	|		-1.20864e-15	|		6.09975	|		11.6024	|		15.9694	|		18.7731	|		19.7392	|	

