|	1	|	0.951057	|	0.809017	|	0.587785	|	0.309017	|	6.12303e-17	|	-0.309017	|	-0.587785	|	-0.809017	|	-0.951057	|	-1	|

|	0.951057	|	0.905448	|	0.770568	|	0.559969	|	0.294422	|	-2.1735e-17	|	-0.294422	|	-0.559969	|	-0.770568	|	-0.905448	|	-0.951057	|

|	0.809017	|	0.770568	|	0.655961	|	0.476756	|	0.250688	|	-9.2659e-17	|	-0.250688	|	-0.476756	|	-0.655961	|	-0.770568	|	-0.809017	|

|	0.587785	|	0.559969	|	0.476756	|	0.346541	|	0.182227	|	-1.26856e-16	|	-0.182227	|	-0.346541	|	-0.476756	|	-0.559969	|	-0.587785	|

|	0.309017	|	0.294422	|	0.250688	|	0.182227	|	0.0958259	|	-1.37211e-16	|	-0.0958259	|	-0.182227	|	-0.250688	|	-0.294422	|	-0.309017	|

|	6.12303e-17	|	-1.38778e-17	|	-5.55112e-17	|	-9.02056e-17	|	-1.17961e-16	|	-1.44433e-16	|	-1.73472e-16	|	-1.94289e-16	|	-1.80411e-16	|	-1.38778e-16	|	-6.12303e-17	|

|	-0.309017	|	-0.294422	|	-0.250688	|	-0.182227	|	-0.0958259	|	-1.49085e-16	|	0.0958259	|	0.182227	|	0.250688	|	0.294422	|	0.309017	|

|	-0.587785	|	-0.559969	|	-0.476756	|	-0.346541	|	-0.182227	|	-1.46597e-16	|	0.182227	|	0.346541	|	0.476756	|	0.559969	|	0.587785	|

|	-0.809017	|	-0.770568	|	-0.655961	|	-0.476756	|	-0.250688	|	-1.31992e-16	|	0.250688	|	0.476756	|	0.655961	|	0.770568	|	0.809017	|

|	-0.951057	|	-0.905448	|	-0.770568	|	-0.559969	|	-0.294422	|	-1.03817e-16	|	0.294422	|	0.559969	|	0.770568	|	0.905448	|	0.951057	|

|	-1	|	-0.951057	|	-0.809017	|	-0.587785	|	-0.309017	|	-6.12303e-17	|	0.309017	|	0.587785	|	0.809017	|	0.951057	|	1	|

